BIL,BWX,^FTSE,^GSPC,^HSI
45.86,59.02,5154.2,1073.19,21467.36
45.85,59.14,5256.1,1092.02,21886.48
45.85,58.9,5223,1096.56,21999.08
45.87,58.68,5190.2,1087.68,21929.9
45.86,59.1,5281.5,1097.91,22200.46
45.85,59.13,5243.4,1091.06,22384.96
45.85,59.15,5257.9,1081.4,22318.11
45.85,59.2,5207.4,1092.91,22210.52
45.85,58.93,5242.6,1079.6,22589.73
45.85,58.4,5191.7,1066.95,22589.73
45.85,58.48,5201,1063.41,22169.59
45.85,58.28,5080.4,1042.63,21761.58
45.86,58.44,5137.7,1066.11,21264.99
45.88,58.5,5044.6,1036.19,21752.87
45.88,58.48,5104.5,1042.88,21620.19
45.88,58.26,5037.2,1045.41,21240.06
45.87,58.49,5107.9,1046.5,21614.77
45.87,58.68,5125.6,1066.63,21479.08
45.88,58.72,5142.7,1069.3,21829.72
45.88,59.33,5235.2,1093.08,22207.55
45.85,59.4,5230.6,1093.01,22268.16
45.85,59.58,5266.8,1098.51,22627.21
45.85,58.87,5276.5,1087.24,22397.57
45.85,59.47,5296.4,1093.48,22553.63
45.85,59.72,5382.7,1109.3,22943.98
45.85,59.51,5345.9,1110.32,22914.15
45.85,59.6,5342.1,1109.8,22840.33
45.85,59.54,5267.7,1094.9,22643.16
45.85,59.3,5251.4,1091.38,22455.84
45.85,59.58,5355.5,1106.24,22771.39
45.85,59.65,5324,1105.65,22423.14
45.85,60.23,5364.8,1110.63,22611.8
45.86,59.91,5245.7,1091.49,21134.5
45.86,60.27,5190.7,1095.63,21821.5
45.86,60.61,5312.2,1108.86,22113.15
45.85,60.48,5327.4,1109.24,22289.57
45.85,60.16,5313,1099.92,22553.87
45.87,59.28,5322.4,1105.98,22498.15
45.85,59.35,5310.7,1103.25,22324.96
45.85,59.15,5223.1,1091.94,22060.52
45.87,59.28,5203.9,1095.95,21741.76
45.85,59.08,5244.4,1102.35,21700.04
45.85,58.51,5261.6,1106.41,21902.11
45.84,58.91,5315.3,1114.11,22085.75
45.84,58.41,5285.8,1107.93,21813.92
45.85,58.23,5320.3,1109.18,21611.74
45.85,57.69,5217.6,1096.08,21347.63
45.85,57.56,5196.8,1102.47,21175.88
45.85,57.22,5294,1114.05,20948.1
45.85,57.09,5328.7,1118.02,21092.04
45.85,57.33,5372.4,1120.59,21328.74
45.86,57.2,5402.4,1126.48,21517
45.85,57.37,5402.4,1127.78,21480.22
45.85,56.82,5437.6,1126.2,21499.44
45.86,56.77,5397.9,1126.42,21496.62
45.87,56.83,5412.9,1115.1,21872.5
45.85,56.99,5500.3,1132.99,21823.28
45.84,57.26,5522.5,1136.52,22279.58
45.84,57.16,5530,1137.14,22416.67
45.84,56.83,5526.7,1141.69,22269.45
45.84,57.16,5534.2,1144.98,22296.75
45.84,57.56,5538.1,1146.98,22411.52
45.84,57.59,5498.7,1136.22,22326.64
45.86,57.78,5473.5,1145.68,21748.6
45.85,57.85,5498.2,1148.46,21716.95
45.85,57.77,5455.4,1136.03,21654.16
45.85,57.53,5513.1,1150.23,21677.98
45.85,56.66,5420.8,1138.04,21286.17
45.85,56.93,5335.1,1116.48,20862.67
45.85,56.97,5303,1091.76,20726.18
45.86,56.88,5260.3,1096.78,20598.55
45.86,56.92,5276.9,1092.17,20109.33
45.87,56.66,5217.5,1097.5,20033.07
45.86,56.46,5145.7,1084.53,20356.37
45.87,56,5188.5,1073.87,20121.99
45.86,55.94,5247.4,1089.19,20243.75
45.85,56.18,5283.3,1103.32,20272.18
45.87,56,5253.2,1097.28,20722.08
45.87,55.67,5139.3,1063.11,20341.64
45.87,55.25,5060.9,1066.19,19665.08
45.87,55.27,5092.3,1056.74,19550.89
45.87,55.75,5111.8,1070.52,19790.28
45.87,55.73,5132,1068.13,19922.22
45.87,55.82,5161.5,1078.47,20290.69
45.87,55.66,5142.5,1075.51,20268.69
45.84,55.83,5276.6,1099.51,20534.01
45.86,55.79,5325.1,1106.75,20422.15
45.84,55.56,5358.2,1109.17,19894.02
45.86,55.84,5352.1,1108.01,20377.27
45.84,55.88,5315.1,1094.6,20623
45.86,56.08,5342.9,1105.24,20467.74
45.86,56.07,5278.2,1102.94,20399.57
45.86,55.97,5354.5,1104.49,20608.7
45.84,55.62,5405.9,1115.71,21056.93
45.85,55.9,5484.1,1118.31,20906.11
45.84,56.2,5533.2,1118.79,20876.79
45.84,55.9,5527.2,1122.97,20575.78
45.84,55.86,5599.8,1138.7,20787.97
45.84,55.99,5606.7,1138.5,21196.87
45.84,55.82,5602.3,1140.45,21207.55
45.85,55.94,5640.6,1145.61,21208.29
45.84,56.16,5617.3,1150.24,21228.2
45.84,56.47,5625.7,1149.99,21209.74
45.84,56.5,5593.9,1150.51,21079.1
45.84,56.78,5620.4,1159.46,21022.93
45.84,57.02,5644.6,1166.21,21384.49
45.84,56.73,5642.6,1165.83,21330.67
45.84,56.49,5650.1,1159.9,21370.82
45.85,56.42,5644.5,1165.81,20933.25
45.85,56.5,5673.6,1174.17,20987.78
45.84,55.84,5677.9,1167.72,21008.62
45.86,55.27,5727.7,1165.73,20778.55
45.86,55.44,5703,1166.59,21053.11
45.84,55.64,5710.7,1173.22,21237.43
45.84,55.75,5672.3,1173.27,21374.79
45.86,55.96,5679.6,1169.43,21239.35
45.86,55.98,5744.9,1178.1,21537
45.84,55.69,5744.9,1187.44,21537
45.84,55.59,5780.4,1189.44,21537
45.84,55.54,5762.1,1182.45,21928.77
45.84,55.5,5712.7,1186.44,21867.04
45.84,55.64,5771,1194.37,22208.5
45.84,55.88,5777.7,1196.48,22138.17
45.84,56.09,5761.7,1197.3,22103.53
45.84,56.16,5796.3,1210.65,22121.43
45.84,55.83,5825,1211.67,22157.82
45.84,55.72,5744,1192.13,21865.26
45.85,55.7,5727.9,1197.52,21405.17
