XBB,SPY
20.05,97.95
19.97,98.18
19.96,98.11
19.96,97.66
20.03,97.72
20.05,98.84
20.13,98.92
20.05,98.85
20.02,98.82
20.02,97.9
20.11,98.47
20.05,98.82
20.22,98.92
20.27,99.78
20.29,100.13
20.36,100.2
20.22,100.14
20.27,99.48
20.32,99.5
20.37,100.27
20.44,100.51
20.4,100.58
20.38,100.38
20.34,100.93
20.36,101.08
20.23,100.88
20.33,100.67
20.39,100.19
20.36,98.97
20.15,98.29
20.19,98.79
20.17,98.64
20.17,99.11
20.17,98.43
20.15,98.75
20.13,97.96
20.16,98.48
20.18,99.5
20.27,98.46
20.28,97.86
20.29,97.26
20.27,97.07
20.32,97.34
20.3,97.64
20.31,97.8
20.33,97.8
20.32,98.41
20.35,99.04
20.31,99.34
20.38,99.08
20.36,100.13
20.34,100
20.35,100.12
20.32,99.37
20.4,99.73
20.43,100.58
20.45,100.51
20.5,100.88
20.47,100.95
20.44,100.13
20.47,100.27
20.47,98.78
20.45,99.49
20.45,100.14
20.38,101.13
20.38,100.47
20.39,100.97
20.41,100.92
20.3,100.96
20.38,102.22
20.35,102.27
20.34,101.88
20.33,100.75
20.35,100.98
20.42,100.27
20.43,100.89
20.41,100.06
20.31,99.21
20.31,99.41
20.22,99.12
20.27,98.75
20.23,97.74
20.24,97.83
20.31,97.94
20.3,98.09
20.28,97.43
20.15,98.81
20.19,98.63
20.22,98.19
20.17,98.35
20.22,98.82
20.26,99.17
20.37,99.7
20.35,98.66
20.4,98.74
20.36,99.25
20.39,98.08
20.38,96.8
20.42,95.44
20.38,95.74
20.43,96.5
20.47,95.15
20.52,97
20.55,96.63
20.57,97.27
20.62,96.32
20.58,96.7
20.57,95.49
20.55,96.78
20.54,97.33
20.52,97.49
20.54,98.25
20.64,98.21
20.62,97.9
20.63,98.51
20.63,97.49
20.62,98.03
20.62,96.95
20.53,96.76
20.55,97.66
20.53,98.31
20.67,99.32
20.69,99.74
20.78,99.6
20.76,100.15
20.76,99.92
20.74,99.84
20.73,100.38
20.74,100.54
20.79,99.9
20.81,100.75
20.82,100.97
20.85,100.46
20.9,100.37
20.95,100.44
21.12,100.26
21.1,100.74
21.05,100.5
21.07,100.82
21.13,101.05
21.1,101.25
21.1,101.51
21.01,101.88
21,101.92
20.97,101.97
20.98,102.06
20.94,100.62
21.04,99.88
21.05,100.03
21.1,100.87
21.14,100.6
21.18,100.05
21.24,100.35
21.01,101.15
20.96,100.3
20.92,100.7
20.98,101.85
20.86,102.37
20.81,102.64
20.84,102.78
20.87,103.18
20.81,103.12
20.83,102.71
20.77,103.28
20.81,103.63
20.78,103.02
20.85,103.71
20.81,103.42
20.86,103.54
20.86,103.92
20.8,104.58
20.93,103.88
20.94,103.8
20.9,104.43
20.87,104.7
20.88,103.86
20.94,103.16
20.83,102.97
20.88,103.59
20.88,103.54
20.8,103.95
20.79,103.31
20.79,103.95
20.74,102.6
20.85,102.59
20.84,102.58
20.89,102.81
20.98,102.81
20.93,102.62
21,101.71
21.02,102.08
20.99,101.38
20.99,102.16
21.05,101.62
21.03,102.91
21.06,102.83
21.12,102.65
21.15,103.85
21.17,104.02
21.27,103.68
21.24,104.6
21.19,104.39
21.07,103.81
21.12,103.44
21.15,103.39
21.12,104.12
21.1,103.77
21.12,102.9
21.07,101.94
21.05,102.3
21.09,102.38
21.06,102.5
21.1,102.48
21.1,102.58
21.05,103.41
21.01,103.73
21.15,103.36
21.01,102.2
21,100.86
20.99,100.5
20.91,100.84
21.02,99.99
21.03,99.85
20.98,99.06
21.06,99
21,100.05
20.84,100.42
20.91,99.33
20.84,100.98
20.9,99.21
20.89,99.59
20.81,101.14
20.82,100.93
20.95,100.64
20.92,99.57
20.79,101
20.8,101.28
20.82,101.58
20.78,102.64
20.78,103.08
20.8,102.95
20.79,103.05
20.79,103.05
20.71,103.18
20.79,103.99
20.84,104.34
20.8,104.28
20.77,103.9
20.84,104.11
20.8,105.08
20.84,105.49
20.89,106.03
20.92,106.48
20.91,107.1
20.91,107.18
20.98,106.42
21.01,106.3
21.03,105.73
